L_ident	R_ident	soap	soap_log2
epi_R_1	epi_R_1	26	4.70043971814109
epi_R_1	epi_R_2	29	4.85798099512757
epi_R_1	epi_R_3	34	5.08746284125034
epi_R_1	epi_R_4	25	4.64385618977472
epi_R_1	epi_R_5	28	4.8073549220576
epi_R_1	epi_R_6	27	4.75488750216347
epi_R_1	pp_R_0	12	3.58496250072116
epi_R_1	pp_R_1	13	3.70043971814109
epi_R_1	pp_R_2	5	2.32192809488736
epi_R_1	pp_R_3	6	2.58496250072116
epi_R_1	pp_R_4	13	3.70043971814109
epi_R_2	epi_R_1	38	5.24792751344359
epi_R_2	epi_R_2	43	5.4262647547021
epi_R_2	epi_R_3	49	5.61470984411521
epi_R_2	epi_R_4	38	5.24792751344359
epi_R_2	epi_R_5	41	5.35755200461808
epi_R_2	epi_R_6	43	5.4262647547021
epi_R_2	pp_R_0	20	4.32192809488736
epi_R_2	pp_R_1	24	4.58496250072116
epi_R_2	pp_R_2	12	3.58496250072116
epi_R_2	pp_R_3	8	3
epi_R_2	pp_R_4	23	4.52356195605701
epi_R_3	epi_R_1	35	5.12928301694497
epi_R_3	epi_R_2	39	5.28540221886225
epi_R_3	epi_R_3	46	5.52356195605701
epi_R_3	epi_R_4	34	5.08746284125034
epi_R_3	epi_R_5	37	5.20945336562895
epi_R_3	epi_R_6	40	5.32192809488736
epi_R_3	pp_R_0	18	4.16992500144231
epi_R_3	pp_R_1	21	4.39231742277876
epi_R_3	pp_R_2	9	3.16992500144231
epi_R_3	pp_R_3	7	2.8073549220576
epi_R_3	pp_R_4	21	4.39231742277876
epi_R_4	epi_R_1	27	4.75488750216347
epi_R_4	epi_R_2	32	5
epi_R_4	epi_R_3	39	5.28540221886225
epi_R_4	epi_R_4	29	4.85798099512757
epi_R_4	epi_R_5	31	4.95419631038687
epi_R_4	epi_R_6	31	4.95419631038687
epi_R_4	pp_R_0	13	3.70043971814109
epi_R_4	pp_R_1	16	4
epi_R_4	pp_R_2	7	2.8073549220576
epi_R_4	pp_R_3	6	2.58496250072116
epi_R_4	pp_R_4	16	4
epi_R_5	epi_R_1	33	5.04439411935845
epi_R_5	epi_R_2	37	5.20945336562895
epi_R_5	epi_R_3	44	5.4594316186373
epi_R_5	epi_R_4	33	5.04439411935845
epi_R_5	epi_R_5	35	5.12928301694497
epi_R_5	epi_R_6	36	5.16992500144231
epi_R_5	pp_R_0	17	4.08746284125034
epi_R_5	pp_R_1	21	4.39231742277876
epi_R_5	pp_R_2	10	3.32192809488736
epi_R_5	pp_R_3	8	3
epi_R_5	pp_R_4	20	4.32192809488736
epi_R_6	epi_R_1	40	5.32192809488736
epi_R_6	epi_R_2	44	5.4594316186373
epi_R_6	epi_R_3	51	5.6724253419715
epi_R_6	epi_R_4	39	5.28540221886225
epi_R_6	epi_R_5	43	5.4262647547021
epi_R_6	epi_R_6	50	5.64385618977472
epi_R_6	pp_R_0	25	4.64385618977472
epi_R_6	pp_R_1	26	4.70043971814109
epi_R_6	pp_R_2	19	4.24792751344359
epi_R_6	pp_R_3	15	3.90689059560852
epi_R_6	pp_R_4	27	4.75488750216347
pp_R_0	epi_R_1	34	5.08746284125034
pp_R_0	epi_R_2	43	5.4262647547021
pp_R_0	epi_R_3	46	5.52356195605701
pp_R_0	epi_R_4	40	5.32192809488736
pp_R_0	epi_R_5	38	5.24792751344359
pp_R_0	epi_R_6	44	5.4594316186373
pp_R_0	pp_R_0	39	5.28540221886225
pp_R_0	pp_R_1	41	5.35755200461808
pp_R_0	pp_R_2	21	4.39231742277876
pp_R_0	pp_R_3	14	3.8073549220576
pp_R_0	pp_R_4	39	5.28540221886225
pp_R_1	epi_R_1	42	5.39231742277876
pp_R_1	epi_R_2	47	5.55458885167764
pp_R_1	epi_R_3	56	5.8073549220576
pp_R_1	epi_R_4	45	5.49185309632967
pp_R_1	epi_R_5	45	5.49185309632967
pp_R_1	epi_R_6	48	5.58496250072116
pp_R_1	pp_R_0	42	5.39231742277876
pp_R_1	pp_R_1	47	5.55458885167764
pp_R_1	pp_R_2	25	4.64385618977472
pp_R_1	pp_R_3	16	4
pp_R_1	pp_R_4	44	5.4594316186373
pp_R_2	epi_R_1	23	4.52356195605701
pp_R_2	epi_R_2	31	4.95419631038687
pp_R_2	epi_R_3	36	5.16992500144231
pp_R_2	epi_R_4	29	4.85798099512757
pp_R_2	epi_R_5	27	4.75488750216347
pp_R_2	epi_R_6	30	4.90689059560852
pp_R_2	pp_R_0	31	4.95419631038687
pp_R_2	pp_R_1	33	5.04439411935845
pp_R_2	pp_R_2	17	4.08746284125034
pp_R_2	pp_R_3	12	3.58496250072116
pp_R_2	pp_R_4	33	5.04439411935845
pp_R_3	epi_R_1	20	4.32192809488736
pp_R_3	epi_R_2	25	4.64385618977472
