L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_1_Itgb1	epi_R_1	0.460174289189189	0.00607577586039287
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_2_Itgb1	epi_R_2	0.348542099830604	0.00607577586039287
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_3_Itgb1	epi_R_3	0.335660746511628	0.00607577586039287
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_4_Itgb1	epi_R_4	0.306343605316456	0.00607577586039287
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_5_Itgb1	epi_R_5	0.329742664864865	0.00607577586039287
pp_L_1_Adam17	pp_L_1	0.320184788248848	epi_R_6_Itgb1	epi_R_6	0.407784487250996	0.00607577586039287
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_1_Itgb1	epi_R_1	0.460174289189189	0.00292001465452982
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_2_Itgb1	epi_R_2	0.348542099830604	0.00292001465452982
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_3_Itgb1	epi_R_3	0.335660746511628	0.00292001465452982
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_4_Itgb1	epi_R_4	0.306343605316456	0.00292001465452982
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_5_Itgb1	epi_R_5	0.329742664864865	0.00292001465452982
pp_L_4_Adam17	pp_L_4	0.221969006666667	epi_R_6_Itgb1	epi_R_6	0.407784487250996	0.00292001465452982
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_1_Cd9	epi_R_1	0.96533267009009	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_2_Cd9	epi_R_2	1.44154447724449	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_3_Cd9	epi_R_3	0.388109338953488	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_4_Cd9	epi_R_4	1.21947325341772	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_5_Cd9	epi_R_5	1.47647311351351	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_6_Cd9	epi_R_6	0.785254805577689	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_1_Itga6	epi_R_1	0.380493361621622	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_2_Itga6	epi_R_2	0.439748154263128	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_4_Itga6	epi_R_4	0.509773641518987	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_5_Itga6	epi_R_5	0.49473010990991	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_6_Itga6	epi_R_6	0.385005115139442	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_1_Itgb1	epi_R_1	0.460174289189189	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_2_Itgb1	epi_R_2	0.348542099830604	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_3_Itgb1	epi_R_3	0.335660746511628	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_4_Itgb1	epi_R_4	0.306343605316456	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_5_Itgb1	epi_R_5	0.329742664864865	0.00210665637144515
pp_L_0_Adam23	pp_L_0	0.188537035294118	epi_R_6_Itgb1	epi_R_6	0.407784487250996	0.00210665637144515
pp_L_1_Apoe	pp_L_1	2.41637245299539	epi_R_6_Ldlr	epi_R_6	0.236570114342629	0.346041436401049
pp_L_4_Apoe	pp_L_4	0.410025462222222	epi_R_6_Ldlr	epi_R_6	0.236570114342629	0.00996373131451547
pp_L_1_Apoe	pp_L_1	2.41637245299539	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.346041436401049
pp_L_4_Apoe	pp_L_4	0.410025462222222	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.00996373131451547
pp_L_1_Apoe	pp_L_1	2.41637245299539	epi_R_6_Sorl1	epi_R_6	0.195114465338645	0.346041436401049
pp_L_4_Apoe	pp_L_4	0.410025462222222	epi_R_6_Sorl1	epi_R_6	0.195114465338645	0.00996373131451547
