L_Gene	L_ident	L_MeanUMI	R_Gene	R_Ident	R_MeanUMI	Str
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_1_Cd151	epi_R_1	0.471659544324324	0.00954008755416606
epi_L_1_Gip	epi_L_1	1.50600264666667	epi_R_1_Dpp4	epi_R_1	0.492013172612613	0.134416265180606
epi_L_1_Efnb1	epi_L_1	0.314317023963964	epi_R_1_Erbb2	epi_R_1	0.294410689009009	0.00585512487047879
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_1_F11r	epi_R_1	5.77437534936937	1.33057132235639
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_1_Lsr	epi_R_1	1.32970303099099	0.0130306495090238
epi_L_1_App	epi_L_1	0.465133821441441	epi_R_1_Ncstn	epi_R_1	0.307058223963964	0.0128220124220276
epi_L_1_Sema4g	epi_L_1	0.402736764144144	epi_R_1_Plxnb2	epi_R_1	0.481303330810811	0.00961264506052984
epi_L_1_Gnas_Ptma_Sct	epi_L_1	4.48705324396396	epi_R_1_Vipr1	epi_R_1	1.08032446	0.431562629820015
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_2_Cd151	epi_R_2	0.485174463241107	0.00954008755416606
epi_L_1_Hsp90aa1	epi_L_1	0.698892513333333	epi_R_2_Cftr	epi_R_2	0.240592683625071	0.0289481710720215
epi_L_1_Efnb1	epi_L_1	0.314317023963964	epi_R_2_Erbb2	epi_R_2	0.267220975607002	0.00585512487047879
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_2_F11r	epi_R_2	6.18183979034443	1.33057132235639
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_2_Lsr	epi_R_2	1.33435749282891	0.0130306495090238
epi_L_1_App	epi_L_1	0.465133821441441	epi_R_2_Ncstn	epi_R_2	0.275923749124788	0.0128220124220276
epi_L_1_Sema4g	epi_L_1	0.402736764144144	epi_R_2_Plxnb2	epi_R_2	0.376165917278374	0.00961264506052984
