"L_Gene"	"L_ident"	"L_celltype"	"L_cluster"	"L_MeanUMI"	"R_Gene"	"R_ident"	"R_celltype"	"R_cluster"	"R_MeanUMI"	"Str"
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_0_Itgb1"	"epi_R_0"	"Stem"	0	0.415806124311927	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_1_Itgb1"	"epi_R_1"	"Endocrine"	1	0.436324643944637	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_2_Itgb1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.338580131802721	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_3_Itgb1"	"epi_R_3"	"TA.Early"	3	0.292376811790393	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_4_Itgb1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.45355600308642	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_5_Itgb1"	"epi_R_5"	"Goblet"	5	0.257355178294574	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_6_Itgb1"	"epi_R_6"	"Enterocyte.2"	6	0.426457079689963	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_7_Itgb1"	"epi_R_7"	"Tuft"	7	0.374413836741573	0.00393928144731306
"pp_L_1_Adam17"	"pp_L_1"	"MPs"	1	0.320184788248848	"epi_R_8_Itgb1"	"epi_R_8"	"M.cell"	8	0.462597745052083	0.00393928144731306
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_0_Itgb1"	"epi_R_0"	"Stem"	0	0.415806124311927	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_1_Itgb1"	"epi_R_1"	"Endocrine"	1	0.436324643944637	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_2_Itgb1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.338580131802721	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_3_Itgb1"	"epi_R_3"	"TA.Early"	3	0.292376811790393	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_4_Itgb1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.45355600308642	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_5_Itgb1"	"epi_R_5"	"Goblet"	5	0.257355178294574	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_6_Itgb1"	"epi_R_6"	"Enterocyte.2"	6	0.426457079689963	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_7_Itgb1"	"epi_R_7"	"Tuft"	7	0.374413836741573	0.00189321657328679
"pp_L_4_Adam17"	"pp_L_4"	"pDCs"	4	0.221969006666667	"epi_R_8_Itgb1"	"epi_R_8"	"M.cell"	8	0.462597745052083	0.00189321657328679
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_0_Cd9"	"epi_R_0"	"Stem"	0	1.02919551559633	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_1_Cd9"	"epi_R_1"	"Endocrine"	1	1.36431015207612	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_2_Cd9"	"epi_R_2"	"Enterocyte.Progenitor"	2	1.44936383656463	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_3_Cd9"	"epi_R_3"	"TA.Early"	3	1.86517324694323	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_4_Cd9"	"epi_R_4"	"M.cell.Progenitor.1"	4	1.80029256111111	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_5_Cd9"	"epi_R_5"	"Goblet"	5	1.14073627971576	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_6_Cd9"	"epi_R_6"	"Enterocyte.2"	6	1.85804259085654	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_7_Cd9"	"epi_R_7"	"Tuft"	7	1.7900548505618	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_8_Cd9"	"epi_R_8"	"M.cell"	8	0.922514861197917	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_1_Itga6"	"epi_R_1"	"Endocrine"	1	0.220267956920415	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_3_Itga6"	"epi_R_3"	"TA.Early"	3	0.296828301310044	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_4_Itga6"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.256706967901235	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_6_Itga6"	"epi_R_6"	"Enterocyte.2"	6	0.451655365528114	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_7_Itga6"	"epi_R_7"	"Tuft"	7	0.279252450449438	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_8_Itga6"	"epi_R_8"	"M.cell"	8	0.355333520052083	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_0_Itgb1"	"epi_R_0"	"Stem"	0	0.415806124311927	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_1_Itgb1"	"epi_R_1"	"Endocrine"	1	0.436324643944637	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_2_Itgb1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.338580131802721	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_3_Itgb1"	"epi_R_3"	"TA.Early"	3	0.292376811790393	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_4_Itgb1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.45355600308642	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_5_Itgb1"	"epi_R_5"	"Goblet"	5	0.257355178294574	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_6_Itgb1"	"epi_R_6"	"Enterocyte.2"	6	0.426457079689963	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_7_Itgb1"	"epi_R_7"	"Tuft"	7	0.374413836741573	0.00136586874673832
"pp_L_0_Adam23"	"pp_L_0"	"DCs"	0	0.188537035294118	"epi_R_8_Itgb1"	"epi_R_8"	"M.cell"	8	0.462597745052083	0.00136586874673832
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_0_Ldlr"	"epi_R_0"	"Stem"	0	0.31681347293578	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_1_Ldlr"	"epi_R_1"	"Endocrine"	1	0.409547779411765	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_2_Ldlr"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.334199582312925	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_4_Ldlr"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.478012336419753	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_5_Ldlr"	"epi_R_5"	"Goblet"	5	0.450088731782946	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_6_Ldlr"	"epi_R_6"	"Enterocyte.2"	6	0.270063490751445	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_7_Ldlr"	"epi_R_7"	"Tuft"	7	0.25994460752809	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_8_Ldlr"	"epi_R_8"	"M.cell"	8	0.218234109114583	0.22435893649442
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_0_Ldlr"	"epi_R_0"	"Stem"	0	0.31681347293578	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_1_Ldlr"	"epi_R_1"	"Endocrine"	1	0.409547779411765	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_2_Ldlr"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.334199582312925	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_4_Ldlr"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.478012336419753	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_5_Ldlr"	"epi_R_5"	"Goblet"	5	0.450088731782946	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_6_Ldlr"	"epi_R_6"	"Enterocyte.2"	6	0.270063490751445	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_7_Ldlr"	"epi_R_7"	"Tuft"	7	0.25994460752809	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_8_Ldlr"	"epi_R_8"	"M.cell"	8	0.218234109114583	0.00646007074901296
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_1_Lrp1"	"epi_R_1"	"Endocrine"	1	0.318558839100346	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_2_Lrp1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.282781736139456	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_4_Lrp1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.339468911111111	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_5_Lrp1"	"epi_R_5"	"Goblet"	5	0.362645933333333	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_7_Lrp1"	"epi_R_7"	"Tuft"	7	0.234390125617978	0.22435893649442
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_1_Lrp1"	"epi_R_1"	"Endocrine"	1	0.318558839100346	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_2_Lrp1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.282781736139456	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_4_Lrp1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.339468911111111	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_5_Lrp1"	"epi_R_5"	"Goblet"	5	0.362645933333333	0.00646007074901296
"pp_L_4_Apoe"	"pp_L_4"	"pDCs"	4	0.410025462222222	"epi_R_7_Lrp1"	"epi_R_7"	"Tuft"	7	0.234390125617978	0.00646007074901296
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_0_Scarb1"	"epi_R_0"	"Stem"	0	0.331073865137615	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_2_Scarb1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.311207329506803	0.22435893649442
"pp_L_1_Apoe"	"pp_L_1"	"MPs"	1	2.41637245299539	"epi_R_5_Scarb1"	"epi_R_5"	"Goblet"	5	0.286757953617571	0.22435893649442
