"Ligand"	"Receptor"	"known"	"Source"	"Databases"	"Evidence"	"PMIDs"
"A2m_Lrp1"	"A2m"	"Lrp1"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1702392,10652313,12194978"
"Aanat_Mtnr1a"	"Aanat"	"Mtnr1a"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12943195"
"Aanat_Mtnr1b"	"Aanat"	"Mtnr1b"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12943195"
"Ace_Agtr2"	"Ace"	"Agtr2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11459796"
"Ace_Bdkrb2"	"Ace"	"Bdkrb2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10748135"
"Adam10_Axl"	"Adam10"	"Axl"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16227584,7822279"
"Adam10_Epha3"	"Adam10"	"Epha3"	"novel"	"HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16239146"
"Adam12_Itga9"	"Adam12"	"Itga9"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10944520"
"Adam12_Itgb1"	"Adam12"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10944520"
"Adam12_Sdc4"	"Adam12"	"Sdc4"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12509413"
"Adam15_Itga5"	"Adam15"	"Itga5"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9914169,9516430"
"Adam15_Itga9"	"Adam15"	"Itga9"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10944520"
"Adam15_Itgav"	"Adam15"	"Itgav"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9914169"
"Adam15_Itgb1"	"Adam15"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9914169,10944520"
"Adam15_Itgb3"	"Adam15"	"Itgb3"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9516430"
"Adam17_Erbb4"	"Adam17"	"Erbb4"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15534001"
"Adam17_Itga5"	"Adam17"	"Itga5"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14970227"
"Adam17_Itgb1"	"Adam17"	"Itgb1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14970227"
"Adam17_Notch1"	"Adam17"	"Notch1"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10882063,9620803"
"Adam23_Itga5"	"Adam23"	"Itga5"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10749942"
"Adam23_Itgb3"	"Adam23"	"Itgb3"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10749942"
"Adam28_Itga4"	"Adam28"	"Itga4"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11724793"
"Adam2_Cd9"	"Adam2"	"Cd9"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10518536"
"Adam2_Itga6"	"Adam2"	"Itga6"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9889149"
"Adam2_Itga9"	"Adam2"	"Itga9"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"21060781"
"Adam2_Itgb1"	"Adam2"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9889149"
"Adam2_Itgb7"	"Adam2"	"Itgb7"	"novel"	"literature"	"supported"	"21060781"	""
"Adam9_Itga3"	"Adam9"	"Itga3"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15361064"
"Adam9_Itga6"	"Adam9"	"Itga6"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10825303,15361064"
"Adam9_Itgav"	"Adam9"	"Itgav"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11162558,15361064"
"Adam9_Itgb1"	"Adam9"	"Itgb1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10825303"
"Adam9_Itgb5"	"Adam9"	"Itgb5"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11162558"
"Adcyap1_Adcyap1r1"	"Adcyap1"	"Adcyap1r1"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10100920,8703026,10583729,16930633,11931347,8253796"
"Adcyap1_Sctr"	"Adcyap1"	"Sctr"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1335692"
"Adcyap1_Vipr1"	"Adcyap1"	"Vipr1"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11897681,9928018,11931347,16930633,8791009,12429744"
"Adcyap1_Vipr2"	"Adcyap1"	"Vipr2"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16930633,11978642,9928018,11931347,8146174"
"Adipoq_Adipor1"	"Adipoq"	"Adipor1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12802337"
"Adipoq_Adipor2"	"Adipoq"	"Adipor2"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12802337"
"Adm2_Calcr"	"Adm2"	"Calcr"	"known"	"IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15692146"
"Adm2_Calcrl"	"Adm2"	"Calcrl"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14615490"
